"i","j","fij"
"BIH","BOL",0
"BRA","BOL",4994
"BGR","BOL",11
"BDI","BOL",0
"CPV","BOL",0
"KHM","BOL",0
"CMR","BOL",1
"CAN","BOL",893
"CAF","BOL",0
"TCD","BOL",1
"CHL","BOL",2409
"CHN","BOL",301
"HKG","BOL",0
"COL","BOL",379
"COG","BOL",1
"CRI","BOL",49
"CIV","BOL",4
"HRV","BOL",0
"CUB","BOL",50
"CUW","BOL",54
"CYP","BOL",5
"CZE","BOL",69
"PRK","BOL",59
"COD","BOL",1
"DNK","BOL",9
"DMA","BOL",1
"DOM","BOL",27
"ECU","BOL",161
"EGY","BOL",16
"SLV","BOL",34
"ERI","BOL",0
"EST","BOL",0
"ETH","BOL",4
"FJI","BOL",0
"FIN","BOL",34
"FRA","BOL",223
"GUF","BOL",0
"GAB","BOL",1
"GEO","BOL",0
"DEU","BOL",625
"GHA","BOL",0
"GIB","BOL",0
"GRC","BOL",6
"GRD","BOL",0
"GTM","BOL",77
"GIN","BOL",4
"GUY","BOL",1
"HTI","BOL",1
"HND","BOL",122
"HUN","BOL",28
"ISL","BOL",2
"IND","BOL",39
