"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"41717";"SDN";"SPM";0;0;0;0;0;0;0;0;0
"41718";"SDN";"SRB";0;0;0;0;0;0;0;0;0
"41719";"SDN";"SSD";277127;126321;403448;-150806;-0,373792905157542;126321;277127;150806;0,373792905157542
"41720";"SDN";"STP";0;0;0;0;0;0;0;0;0
"41721";"SDN";"SUR";0;0;0;0;0;0;0;0;0
"41722";"SDN";"SVK";0;0;0;0;0;0;0;0;0
"41723";"SDN";"SVN";12;0;12;-12;-1;0;12;12;1
"41724";"SDN";"SWE";2071;0;2071;-2071;-1;0;2071;2071;1
"41725";"SDN";"SWZ";0;0;0;0;0;0;0;0;0
"41726";"SDN";"SXM";0;0;0;0;0;0;0;0;0
"41727";"SDN";"SYC";0;0;0;0;0;0;0;0;0
"41728";"SDN";"SYR";111;0;111;-111;-1;0;111;111;1
"41729";"SDN";"TCA";0;0;0;0;0;0;0;0;0
"41730";"SDN";"TCD";147430;37631;185061;-109799;-0,593312475345967;37631;147430;109799;0,593312475345967
"41731";"SDN";"TGO";0;0;0;0;0;0;0;0;0
"41732";"SDN";"THA";1;0;1;-1;-1;0;1;1;1
"41733";"SDN";"TJK";0;0;0;0;0;0;0;0;0
"41734";"SDN";"TKL";0;0;0;0;0;0;0;0;0
"41735";"SDN";"TKM";0;0;0;0;0;0;0;0;0
"41736";"SDN";"TLS";0;0;0;0;0;0;0;0;0
"41737";"SDN";"TON";0;0;0;0;0;0;0;0;0
"41738";"SDN";"TTO";0;0;0;0;0;0;0;0;0
"41739";"SDN";"TUN";0;0;0;0;0;0;0;0;0
"41740";"SDN";"TUR";267;0;267;-267;-1;0;267;267;1
"41741";"SDN";"TUV";0;0;0;0;0;0;0;0;0
"41742";"SDN";"TZA";0;0;0;0;0;0;0;0;0
"41743";"SDN";"UGA";30213;640;30853;-29573;-0,958512948497715;640;30213;29573;0,958512948497715
"41744";"SDN";"UKR";0;0;0;0;0;0;0;0;0
"41745";"SDN";"URY";0;0;0;0;0;0;0;0;0
"41746";"SDN";"USA";19973;0;19973;-19973;-1;0;19973;19973;1
"41747";"SDN";"UZB";0;0;0;0;0;0;0;0;0
"41748";"SDN";"VAT";0;0;0;0;0;0;0;0;0
"41749";"SDN";"VCT";0;0;0;0;0;0;0;0;0
"41750";"SDN";"VEN";0;0;0;0;0;0;0;0;0
"41751";"SDN";"VGB";0;0;0;0;0;0;0;0;0
"41752";"SDN";"VIR";0;0;0;0;0;0;0;0;0
"41753";"SDN";"VNM";0;0;0;0;0;0;0;0;0
