"i","j","fij"
"LKA","OMN",28967
"NGA","ZAF",28965
"GIN","LBR",28963
"KEN","CAN",28920
"AGO","ZMB",28908
"GNB","PRT",28905
"LBN","SWE",28815
"KEN","ZAF",28769
"GBR","ARE",28760
"RUS","AUS",28735
"SLE","GBR",28656
"BRB","GBR",28618
"ARG","URY",28604
"ISR","CAN",28473
"TUR","CAN",28447
"CHL","CAN",28441
"KOR","NZL",28411
"CAN","FRA",28339
"USA","CHN",28223
"CMR","NGA",28177
"ROU","TUR",28155
"ROU","DNK",28150
"AUT","GBR",28051
"BRA","BOL",28045
"SOM","NLD",27991
"BGR","FRA",27977
"LBR","CIV",27962
"PAK","IRN",27941
"VNM","BGD",27883
"GHA","DEU",27872
"CHL","SWE",27855
"COL","AUS",27835
"BLR","LTU",27705
"BTN","NPL",27686
"FRA","POL",27662
"RUS","AZE",27633
"DZA","BEL",27633
"COD","USA",27601
"EGY","GRC",27549
"NPL","ARE",27474
"MCO","FRA",27469
"HUN","CHE",27425
"ERI","CHE",27380
"DEU","PRT",27362
"VCT","USA",27320
"COD","CAN",27317
"TUR","ISR",27190
"LVA","USA",27172
"IND","MMR",27166
"KGZ","UKR",26996
"RUS","TUR",26967
"KOR","DEU",26965
"SDN","YEM",26942
"COL","GBR",26877
"DNK","NOR",26866
"SUR","FRA",26847
"ZMB","USA",26841
"TJK","DEU",26802
"SYR","BEL",26484
"BLR","UZB",26475
"USA","ECU",26386
"USA","PER",26369
"KAZ","GRC",26296
"FJI","CAN",26268
"UKR","KGZ",26231
"PAK","FRA",26183
"TGO","FRA",26164
"ARE","KWT",26113
"CHN","BRA",26078
"ROU","CHE",26008
"NIC","ESP",25969
"RWA","COG",25891
"MKD","AUT",25877
"GTM","BLZ",25876
"SYR","AUS",25825
"MNE","AUT",25784
"MAC","CHN",25716
"CAN","ITA",25716
"GBR","TUR",25680
"MNG","KOR",25633
"BGR","NLD",25446
"CHE","GBR",25422
"MYS","CAN",25337
"CHN","CHE",25313
"SYR","QAT",25290
"LCA","USA",25244
"DZA","GBR",25134
"SWE","DNK",25128
"IRN","FRA",25091
"SXM","NLD",25034
"GMB","USA",25007
"BRN","IND",24952
"THA","HKG",24865
"KEN","MOZ",24863
"KHM","CAN",24836
"GRC","CYP",24813
"LTU","UKR",24662
"SRB","SVN",24601
"VEN","PRT",24584
"CPV","FRA",24545
"RUS","CHE",24539
"UZB","KOR",24444
"HRV","ITA",24438
"IRQ","NOR",24438
"KEN","TZA",24434
"GHA","CAN",24399
"TCD","CMR",24318
"LVA","IRL",24291
"MAR","GBR",24163
"KEN","AUS",24122
"PHL","NOR",24098
"NGA","IRL",24036
"DNK","DEU",24016
"NPL","KWT",24012
"IND","CHE",23969
"SDN","QAT",23954
"TON","NZL",23940
"NLD","CHE",23934
"UKR","GBR",23778
"NGA","GAB",23730
"USA","BRA",23726
"AZE","USA",23715
"IDN","BHR",23696
"BEL","LUX",23686
"FIN","USA",23626
"BLR","DEU",23608
"ESP","MEX",23589
"JPN","FRA",23536
"SGP","IDN",23524
"THA","IDN",23524
"TLS","IDN",23524
"AGO","FRA",23438
"SEN","MLI",23389
"AFG","BEL",23386
"MRT","MLI",23331
"IND","HKG",23326
"SYR","GRC",23319
"GBR","BEL",23231
"GBR","MLT",23213
"FRA","GUF",23156
"ROU","PRT",23149
"DEU","ISR",23004
"COD","KEN",22937
"IRQ","DNK",22936
"USA","NZL",22922
"TUN","ISR",22894
"JPN","KOR",22893
"GBR","HKG",22888
"DZA","ITA",22877
"IND","BEL",22852
"ESP","CHL",22842
"TGO","GAB",22842
"TKM","UKR",22828
"KOR","FRA",22794
"AZE","TUR",22792
"SYR","NOR",22603
"SYR","KWT",22596
"USA","SWE",22524
"AUS","CAN",22482
"BLR","ISR",22482
"BEN","FRA",22477
"RUS","SWE",22470
