"i","j","fij"
"AUS","BEL",941
"AUT","BEL",1917
"AZE","BEL",6
"BHS","BEL",13
"BHR","BEL",55
"BGD","BEL",820
"BRB","BEL",20
"BLR","BEL",149
"BEN","BEL",1380
"BTN","BEL",158
"BOL","BEL",778
"BIH","BEL",306
"BWA","BEL",24
"BRA","BEL",2304
"BGR","BEL",1069
"BFA","BEL",487
"BDI","BEL",1506
"CPV","BEL",459
"KHM","BEL",980
"CMR","BEL",2173
"CAN","BEL",3302
"CAF","BEL",187
"TCD","BEL",202
"CHL","BEL",4983
"CHN","BEL",5889
"COL","BEL",2318
"COG","BEL",4892
"CRI","BEL",136
"CIV","BEL",874
"HRV","BEL",72
"CUB","BEL",495
"CYP","BEL",77
"CZE","BEL",55
"PRK","BEL",1674
"COD","BEL",47249
"DNK","BEL",2442
"DJI","BEL",76
"DMA","BEL",97
"DOM","BEL",1792
"ECU","BEL",1598
"EGY","BEL",1627
"SLV","BEL",272
"GNQ","BEL",1692
"ERI","BEL",1
"EST","BEL",57
"ETH","BEL",2711
"FJI","BEL",15
"FIN","BEL",1541
"FRA","BEL",123438
"GAB","BEL",306
"GMB","BEL",194
"GEO","BEL",183
"DEU","BEL",65226
"GHA","BEL",2903
"GRC","BEL",18488
"GTM","BEL",5692
"GIN","BEL",793
"GNB","BEL",121
"GUY","BEL",92
"HTI","BEL",1784
"HND","BEL",96
"HUN","BEL",1593
"ISL","BEL",116
"IND","BEL",6415
"IDN","BEL",1838
"IRN","BEL",2480
"IRQ","BEL",59
"IRL","BEL",2195
"ISR","BEL",4018
"ITA","BEL",163850
"JAM","BEL",264
"JPN","BEL",3490
"JOR","BEL",271
"KAZ","BEL",14
"KEN","BEL",534
"KWT","BEL",136
"KGZ","BEL",7
"LAO","BEL",1032
"LVA","BEL",75
"LBN","BEL",3592
"LSO","BEL",8
"LBR","BEL",369
"LBY","BEL",216
"LIE","BEL",3
"LTU","BEL",76
"LUX","BEL",12473
"MDG","BEL",1049
"MWI","BEL",29
"MYS","BEL",334
"MDV","BEL",2
"MLI","BEL",270
"MLT","BEL",258
"MRT","BEL",868
"MUS","BEL",3397
"MEX","BEL",1637
"MCO","BEL",77
"MNG","BEL",47
"MNE","BEL",10
"MAR","BEL",267838
"MOZ","BEL",189
"MMR","BEL",49
"NAM","BEL",29
"NRU","BEL",0
"NPL","BEL",50
"NLD","BEL",71295
"NZL","BEL",217
"NIC","BEL",134
"NER","BEL",888
"NGA","BEL",1434
"MKD","BEL",120
"NOR","BEL",978
"OMN","BEL",2
"PAK","BEL",4078
"PLW","BEL",0
"PAN","BEL",105
"PNG","BEL",99
"PRY","BEL",166
"PER","BEL",1865
"PHL","BEL",8282
"POL","BEL",6931
"PRT","BEL",16854
"KOR","BEL",229
"MDA","BEL",46
"ROU","BEL",2714
"RUS","BEL",546
"RWA","BEL",2462
"SMR","BEL",13
"STP","BEL",35
"SAU","BEL",146
"SEN","BEL",1633
"SRB","BEL",275
"SYC","BEL",56
"SLE","BEL",1493
"SGP","BEL",875
"SVK","BEL",106
"SVN","BEL",23
"SOM","BEL",1661
"ZAF","BEL",2744
"ESP","BEL",38946
"LKA","BEL",238
"PSE","BEL",8
"SDN","BEL",175
"SUR","BEL",274
"SWE","BEL",2712
"CHE","BEL",5128
"SYR","BEL",1702
"TJK","BEL",6
"THA","BEL",3922
"TGO","BEL",1271
"TUN","BEL",14184
"TUR","BEL",163108
"TKM","BEL",1
"UGA","BEL",208
"UKR","BEL",523
"GBR","BEL",22892
"TZA","BEL",228
"USA","BEL",15534
"URY","BEL",337
"UZB","BEL",8
"VEN","BEL",562
"VNM","BEL",3562
"YEM","BEL",110
"ZMB","BEL",221
"ZWE","BEL",174
"CAN","BLZ",515
"CHN","BLZ",823
"HKG","BLZ",49
"SLV","BLZ",6661
"DEU","BLZ",47
"GTM","BLZ",14350
"HTI","BLZ",37
"HND","BLZ",4100
"IND","BLZ",256
"JAM","BLZ",424
"LBN","BLZ",37
"MEX","BLZ",2782
"NGA","BLZ",31
"GBR","BLZ",297
"USA","BLZ",1908
"BFA","BEN",4830
"TCD","BEN",198
"COG","BEN",542
"CIV","BEN",3906
"FRA","BEN",510
"GHA","BEN",2902
"MLI","BEN",366
"NER","BEN",36802
"NGA","BEN",21661
"TGO","BEN",23369
"AUS","BMU",44
"AUT","BMU",27
"BEL","BMU",19
"CAN","BMU",2437
"CHN","BMU",128
"CUB","BMU",15
"DNK","BMU",26
"DOM","BMU",11
"FRA","BMU",114
"DEU","BMU",231
"GHA","BMU",32
"GRC","BMU",101
"GUY","BMU",61
"HTI","BMU",1160
"IND","BMU",220
"IRL","BMU",91
"ISR","BMU",24
"ITA","BMU",79
"JAM","BMU",374
"JPN","BMU",188
"MYS","BMU",18
"NGA","BMU",47
"PAK","BMU",18
"PHL","BMU",142
"POL","BMU",27
"PRT","BMU",1647
"ROU","BMU",17
"ZAF","BMU",62
"ESP","BMU",102
"CHE","BMU",118
"TTO","BMU",41
"TUR","BMU",43
"TCA","BMU",136
"GBR","BMU",4726
"USA","BMU",3454
"AUS","BTN",15
"BGD","BTN",28
"CAN","BTN",20
"CHN","BTN",496
"DNK","BTN",21
"FRA","BTN",17
"DEU","BTN",15
"IND","BTN",24485
"ITA","BTN",7
"JPN","BTN",69
"MMR","BTN",19
"NPL","BTN",392
"NLD","BTN",11
"NZL","BTN",13
"PAK","BTN",12
"PHL","BTN",10
"KOR","BTN",18
"SGP","BTN",10
"LKA","BTN",18
"SWE","BTN",13
"CHE","BTN",13
"THA","BTN",33
"GBR","BTN",19
"USA","BTN",74
"AFG","BOL",1
"ALB","BOL",3
"DZA","BOL",7
"AND","BOL",1
"AGO","BOL",5
"ATG","BOL",5
"ARG","BOL",25141
"ARM","BOL",1
"ABW","BOL",2
"AUS","BOL",115
"AUT","BOL",169
"AZE","BOL",1
"BHS","BOL",5
"BHR","BOL",1
"BGD","BOL",11
"BRB","BOL",4
"BLR","BOL",2
"BEL","BOL",320
"BLZ","BOL",962
"BEN","BOL",0
"BMU","BOL",1
"BES","BOL",17
"BIH","BOL",0
"BRA","BOL",12746
"BGR","BOL",16
"BDI","BOL",1
"CPV","BOL",1
"KHM","BOL",0
"CMR","BOL",2
"CAN","BOL",1728
"CAF","BOL",0
"TCD","BOL",4
"CHL","BOL",4622
"CHN","BOL",675
"HKG","BOL",8
"COL","BOL",1002
"COG","BOL",3
"CRI","BOL",122
"CIV","BOL",3
"HRV","BOL",28
"CUB","BOL",311
"CUW","BOL",138
"CYP","BOL",6
"CZE","BOL",76
"PRK","BOL",63
"COD","BOL",3
"DNK","BOL",55
"DMA","BOL",3
"DOM","BOL",22
"ECU","BOL",521
"EGY","BOL",33
"SLV","BOL",82
"ERI","BOL",1
"EST","BOL",2
"ETH","BOL",4
"FJI","BOL",1
"FIN","BOL",59
"FRA","BOL",597
"GUF","BOL",1
"GAB","BOL",2
"GEO","BOL",1
