"i","j","fij"
"SWE","BHS",14
"CHE","BHS",94
"TTO","BHS",179
"TCA","BHS",622
"UGA","BHS",3
"UKR","BHS",4
"GBR","BHS",1149
"USA","BHS",4694
"URY","BHS",9
"VEN","BHS",10
"ZWE","BHS",7
"AFG","BHR",440
"BGD","BHR",67542
"TCD","BHR",290
"EGY","BHR",52478
"ERI","BHR",1040
"ETH","BHR",454
"FRA","BHR",1234
"IND","BHR",228273
"IDN","BHR",7137
"JOR","BHR",9155
"KWT","BHR",3609
"LBN","BHR",3020
"MAR","BHR",434
"NPL","BHR",2541
"NLD","BHR",126
"NGA","BHR",1305
"PAK","BHR",57113
"PHL","BHR",35449
"QAT","BHR",116
"SAU","BHR",277
"SOM","BHR",348
"SSD","BHR",536
"LKA","BHR",5204
"PSE","BHR",3130
"SDN","BHR",4741
"SYR","BHR",2039
"THA","BHR",777
"TUN","BHR",314
"TUR","BHR",1453
"ARE","BHR",2080
"GBR","BHR",1061
"USA","BHR",750
"YEM","BHR",10050
"BHR","BGD",16287
"BRA","BGD",8057
"KHM","BGD",10607
"CHN","BGD",87897
"IND","BGD",18593
"IDN","BGD",82546
"JPN","BGD",7433
"LAO","BGD",47604
"MYS","BGD",109923
"MMR","BGD",111564
"NPL","BGD",21092
"NOR","BGD",7728
"SGP","BGD",5175
"THA","BGD",5696
"GBR","BGD",18074
"USA","BGD",24845
"VNM","BGD",14862
"ATG","BRB",82
"AUS","BRB",12
"BHS","BRB",21
"BLZ","BRB",11
"BMU","BRB",14
"CAN","BRB",304
"CHN","BRB",25
"CUB","BRB",29
"DMA","BRB",113
"GRD","BRB",139
"GUY","BRB",3093
"HTI","BRB",10
"IND","BRB",226
"JAM","BRB",344
"KNA","BRB",49
"LCA","BRB",864
"VCT","BRB",1252
"SUR","BRB",12
"TTO","BRB",545
"GBR","BRB",1092
"USA","BRB",476
"AFG","BLR",192
"DZA","BLR",44
"ARG","BLR",35
"ARM","BLR",3434
"AUS","BLR",12
"AUT","BLR",18
"AZE","BLR",7781
"BEL","BLR",21
"BRA","BLR",26
"BGR","BLR",31
"CAN","BLR",58
"CUB","BLR",41
"CZE","BLR",29
"PRK","BLR",19
"DNK","BLR",118
"EST","BLR",1104
"ETH","BLR",24
"FIN","BLR",979
"GEO","BLR",4911
"DEU","BLR",35
"GRC","BLR",35
"HUN","BLR",128
"IND","BLR",39
"IRN","BLR",39
"IRL","BLR",8
"ISR","BLR",179
"ITA","BLR",21
"JOR","BLR",29
"KAZ","BLR",33739
"KGZ","BLR",2532
"LVA","BLR",3087
"LBN","BLR",65
"LTU","BLR",4592
"MNG","BLR",43
"NOR","BLR",34
"PAK","BLR",47
"POL","BLR",221
"KOR","BLR",14
"MDA","BLR",4089
"ROU","BLR",10
"RUS","BLR",305167
"SRB","BLR",22
"SVK","BLR",9
"ESP","BLR",16
"SWE","BLR",177
"CHE","BLR",13
"SYR","BLR",83
"TJK","BLR",2905
"TUR","BLR",24
"TKM","BLR",2667
"UKR","BLR",109228
"ARE","BLR",11
"GBR","BLR",171
"USA","BLR",37
"URY","BLR",4
"UZB","BLR",7152
"VNM","BLR",172
"YEM","BLR",27
"AFG","BEL",8950
"ALB","BEL",4711
"DZA","BEL",14539
"AGO","BEL",3223
"ARG","BEL",1071
"ARM","BEL",769
"AUS","BEL",764
"AUT","BEL",1406
"AZE","BEL",117
"BHS","BEL",8
"BHR","BEL",30
"BGD","BEL",1732
"BRB","BEL",5
"BLR","BEL",238
"BEN","BEL",822
"BTN","BEL",193
"BOL","BEL",461
"BIH","BEL",263
"BWA","BEL",20
"BRA","BEL",4939
"BGR","BEL",14340
"BFA","BEL",694
"BDI","BEL",3028
"CPV","BEL",334
"KHM","BEL",566
"CMR","BEL",7683
"CAN","BEL",2212
"CAF","BEL",228
"TCD","BEL",278
"CHL","BEL",2015
"CHN","BEL",8034
"COL","BEL",2490
"COG","BEL",1943
"CRI","BEL",129
"CIV","BEL",2889
"HRV","BEL",111
"CUB","BEL",660
"CYP","BEL",251
"CZE","BEL",319
"PRK","BEL",66
"COD","BEL",38440
"DNK","BEL",1084
"DJI","BEL",606
"DMA","BEL",49
"DOM","BEL",969
"ECU","BEL",2469
"EGY","BEL",2952
"SLV","BEL",236
"GNQ","BEL",22
"ERI","BEL",174
"EST","BEL",241
"ETH","BEL",2218
"FJI","BEL",12
"FIN","BEL",888
"FRA","BEL",82542
"GAB","BEL",284
"GMB","BEL",446
"GEO","BEL",251
"DEU","BEL",36932
"GHA","BEL",4663
"GRC","BEL",8045
"GTM","BEL",400
"GIN","BEL",6758
"GNB","BEL",162
"GUY","BEL",37
"HTI","BEL",853
"HND","BEL",77
"HUN","BEL",3640
"ISL","BEL",99
"IND","BEL",10320
"IDN","BEL",1257
"IRN","BEL",5912
"IRQ","BEL",7010
"IRL","BEL",1666
"ISR","BEL",2095
"ITA","BEL",61660
"JAM","BEL",155
"JPN","BEL",1994
"JOR","BEL",669
"KAZ","BEL",527
"KEN","BEL",521
"KWT","BEL",180
"KGZ","BEL",172
"LAO","BEL",542
"LVA","BEL",448
"LBN","BEL",3896
"LSO","BEL",3
"LBR","BEL",582
"LBY","BEL",441
"LIE","BEL",1
"LTU","BEL",553
"LUX","BEL",6287
"MDG","BEL",584
"MWI","BEL",48
"MYS","BEL",307
"MDV","BEL",2
"MLI","BEL",508
"MLT","BEL",196
"MRT","BEL",1703
"MUS","BEL",827
"MEX","BEL",912
"MCO","BEL",62
"MNG","BEL",279
"MNE","BEL",5
"MAR","BEL",107420
"MOZ","BEL",202
"MMR","BEL",153
"NAM","BEL",31
"NRU","BEL",0
